지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),최다풍향(16방위),평균 증기압(hPa),평균 현지기압(hPa),합계 일사량(MJ/m2),평균 전운량(1/10),평균 지면온도(°C)
108,서울,2018-11-17,4.9,,1.4,290,4.2,1013.1,9.17,4.6,3.9
108,서울,2018-11-18,6.1,,1.1,270,4.6,1011.2,7.49,6.9,5.6
108,서울,2018-11-19,6.5,,1.4,20,4.8,1012.2,7.83,1.9,5.6
108,서울,2018-11-20,6.5,.2,1.8,200,3.7,1014.4,11.03,2,5.3
108,서울,2018-11-21,5.8,1,1.2,340,5.3,1013.9,2.95,8.4,6.3
108,서울,2018-11-22,2.3,,2.4,270,2.5,1015.5,10.82,.8,2.2
108,서울,2018-11-23,1.9,,1.4,290,2,1017.9,10.76,3.1,1.5
108,서울,2018-11-24,2.6,10.9,1.8,70,5.2,1013.2,3.38,9,.6
108,서울,2018-11-25,4.8,,1,20,6.6,1014,7.9,3.8,3.3
108,서울,2018-11-26,6.3,,1,20,6.5,1014.3,10.05,.6,4.7
108,서울,2018-11-27,7.1,,1.5,70,6.6,1012.3,4.62,6.1,5.2
108,서울,2018-11-28,5,,1.6,290,2.3,1014.3,9.68,3.8,3.2
108,서울,2018-11-29,3.5,0,1.3,290,3.3,1016.1,2.81,5.8,1.3
108,서울,2018-11-30,2.7,,1.4,270,3.3,1016.5,10.22,1,2.1
108,서울,2018-12-01,5.5,,1,20,3.8,1016.6,9.88,3.6,3.2
108,서울,2018-12-02,8.2,,1.3,90,5.5,1013.1,5.59,6.5,5.1
108,서울,2018-12-03,11.5,9.5,1.4,90,11.9,1005.9,.65,9.9,9.4
108,서울,2018-12-04,6.7,5,2.7,290,7.9,1009.1,3.33,7.8,7.5
108,서울,2018-12-05,0,,1.5,290,2.4,1016.5,6.33,6.4,.8
108,서울,2018-12-06,2.4,0,2.3,270,3.7,1012.9,7.77,8.1,2.6
108,서울,2018-12-07,-7.3,,3.8,290,1.3,1021.6,10.91,1.1,-3.3
108,서울,2018-12-08,-8.3,,2.6,340,1.2,1022.9,10.75,1.4,-5.2
108,서울,2018-12-09,-7.2,,1.5,290,1,1025.7,10.57,2,-4.9
108,서울,2018-12-10,-2.5,,.9,50,1.7,1023.5,9.46,3,-2.3
108,서울,2018-12-11,.2,,1.2,20,2.8,1017.8,3.59,7.9,-.6
108,서울,2018-12-12,-1.9,,2.2,290,2,1018.8,10.42,0,-1
108,서울,2018-12-13,-2.2,1.3,2,320,3,1018.6,5.83,5,-.6
108,서울,2018-12-14,-4.4,,1.7,290,1.9,1024.2,10.4,0,-2.3
108,서울,2018-12-15,-2.4,,1,20,2.3,1021.4,8.83,3.6,-1.9
108,서울,2018-12-16,0,.3,.9,50,3.9,1010,3.19,9.3,-.3
108,서울,2018-12-17,1.6,.3,1.8,290,4,1007.8,8.92,1.3,.7
108,서울,2018-12-18,2.6,,1.4,230,4.1,1009.4,7.67,3,-.4
108,서울,2018-12-19,4,,1.4,290,4.2,1010.4,9.29,2.9,2.6
108,서울,2018-12-20,3.4,,.9,20,3.4,1012.8,8.78,3.1,2.1
108,서울,2018-12-21,5.6,,1.1,70,3.6,1012.5,5.82,8.5,2.1
108,서울,2018-12-22,6.9,,1.5,290,4.7,1012.5,8.93,4.3,5
108,서울,2018-12-23,2.4,,2.9,290,3.2,1014.1,9.58,2.6,3.3
108,서울,2018-12-24,-2.3,,1.6,290,1.8,1017,10.5,.3,-.2
108,서울,2018-12-25,.6,,1.2,50,3.6,1013.3,5.67,7.4,-.3
108,서울,2018-12-26,-1.5,,2.8,290,2.4,1014.9,9.97,4.4,1.4
108,서울,2018-12-27,-10.1,,3.5,290,.8,1019.5,10.44,.5,-4
108,서울,2018-12-28,-10.5,,2.5,290,.9,1021.6,10.36,.6,-5.4
108,서울,2018-12-29,-7.6,,2.9,290,1,1024.3,10.57,0,-4.3
108,서울,2018-12-30,-6.8,,1.2,290,1.3,1026.8,10.48,.8,-4.3
108,서울,2018-12-31,-5.4,,1.2,290,1.6,1026.2,9.16,1.6,-4.5
108,서울,2019-01-01,-5,,2.1,290,2.1,1022.6,7.84,3.4,-3.9
108,서울,2019-01-02,-4.9,,1.7,270,1.7,1023.4,10.48,0,-3.3
108,서울,2019-01-03,-3.5,,1.4,290,1.8,1024.2,10.28,.1,-2.6
108,서울,2019-01-04,-1.1,,1.2,20,3.3,1019.5,6.2,5.5,-1.4
108,서울,2019-01-05,-2.8,,2.2,290,2,1016.6,10.05,.5,-1.2
108,서울,2019-01-06,-2.8,,1.2,290,1.7,1017.6,9.64,3.1,-1.2
108,서울,2019-01-07,-1.9,,1.4,290,2.4,1017.4,8.71,4,-2
108,서울,2019-01-08,-3.5,,2.6,290,1.4,1018.2,10.46,0,-2
108,서울,2019-01-09,-4.7,,1.3,50,1.2,1022,8.47,4.9,-4.1
108,서울,2019-01-10,-.6,,1.3,290,3,1015.5,5.92,8.1,-.7
108,서울,2019-01-11,2.4,,1,20,4.2,1014.2,8.53,6.1,1.2
108,서울,2019-01-12,2.8,,1.3,290,3.5,1012.1,7.71,3.9,2.6
108,서울,2019-01-13,1.2,,1.4,270,3.5,1014.8,9.97,0,.5
108,서울,2019-01-14,1.4,,.9,290,4.6,1014.8,6.03,4.5,-.3
108,서울,2019-01-15,-1.7,0,2.7,290,3.3,1013.2,6.93,3.8,.7
108,서울,2019-01-16,-5.2,0,2.3,270,1.9,1015.9,10.36,4.1,-1.8
108,서울,2019-01-17,-.3,0,1.7,290,2.6,1013.4,11.07,1.8,.7
108,서울,2019-01-18,.6,,1.3,290,2.9,1016.7,10.4,3,-.3
108,서울,2019-01-19,3.6,,1.2,50,4.7,1011.7,6.27,7.8,2.1
108,서울,2019-01-20,-1.4,,3.2,290,2.2,1011.7,11.56,1.1,1
108,서울,2019-01-21,-1.2,0,1.6,270,3.4,1010.7,3.07,4.1,-2.6
108,서울,2019-01-22,1.7,,1.7,20,4.3,1008.6,9.85,1.1,-.7
108,서울,2019-01-23,2,,2.3,270,3.3,1009.6,10.85,.9,1.3
108,서울,2019-01-24,.1,,1.7,270,2,1013.7,11.71,2.1,.2
108,서울,2019-01-25,-1.2,,2.6,290,1.6,1013.4,11.56,1.3,0
108,서울,2019-01-26,-2.5,,2.4,320,1.5,1017.5,12.29,0,-.6
108,서울,2019-01-27,-.1,,1.7,230,3.3,1015.9,10.31,4.3,-.4
108,서울,2019-01-28,1.2,0,3.1,290,2.7,1011.6,11.76,1.3,2.1
108,서울,2019-01-29,-.2,,1.5,290,2.1,1016.9,11.87,2.1,.3
108,서울,2019-01-30,1.8,,1.5,290,3.9,1014.9,9.13,6.9,1.6
108,서울,2019-01-31,-2,,2.9,290,1.6,1010.5,5.97,7,.6
108,서울,2019-02-01,-2.1,.3,1.7,270,2.6,1013,9.71,3,-2
108,서울,2019-02-02,1.4,0,1,70,4,1011.2,4.48,7.5,-.2
108,서울,2019-02-03,3.3,16,1.7,90,7.2,1002.2,.54,9.3,2.2
108,서울,2019-02-04,-.6,,2.1,290,2.3,1014.7,12.74,2.4,1.4
108,서울,2019-02-05,2.8,,1,50,2.6,1010.6,11.81,3.9,1.9
108,서울,2019-02-06,5.1,,1.3,20,5,1005.6,6.87,8.1,2.5
108,서울,2019-02-07,-2.1,.5,3.5,290,2.7,1011.9,13.09,4.3,2.4
108,서울,2019-02-08,-6.1,,2.3,290,1.2,1015.3,12.08,6.1,-2.4
108,서울,2019-02-09,-5.4,,2.7,320,1.2,1017.4,13.27,4.4,-2.2
108,서울,2019-02-10,-5,,1.7,290,1.3,1019.8,7.83,7.5,-2.6
108,서울,2019-02-11,-3,,2.3,270,1.7,1020.7,14.53,.4,-.6
108,서울,2019-02-12,-.6,0,1.9,290,2.1,1023,12.34,5.6,1.2
108,서울,2019-02-13,-2.1,,2.4,290,1.4,1022,14.15,1.8,.4
108,서울,2019-02-14,-.5,,1.4,250,1.4,1019.9,14.39,5.3,1.2
108,서울,2019-02-15,-.8,2.2,1.9,290,4.2,1012.9,3.57,9.1,-.2
108,서울,2019-02-16,-2.7,.2,2.6,320,2.9,1013.5,13.19,2.4,1.1
108,서울,2019-02-17,-1.8,,1.9,270,2.5,1015.5,16.08,.1,0
108,서울,2019-02-18,.9,,1.3,290,2.7,1014.7,10.19,7.4,-.6
108,서울,2019-02-19,1.4,4.6,1.4,70,5.5,1008.7,3.43,9.4,0
108,서울,2019-02-20,1.7,0,2.1,270,4.7,1014.5,6.26,6.5,1.8
108,서울,2019-02-21,2.4,,1.5,270,4.2,1015.9,14.6,0,3.1
108,서울,2019-02-22,4,,1.5,200,4.3,1011.3,15.33,5.4,4
108,서울,2019-02-23,6.8,,1.1,20,3.6,1012.8,16.04,2.9,5.2
108,서울,2019-02-24,6.3,,1.8,290,4.1,1012.1,16.07,1.6,5
108,서울,2019-02-25,4.7,,2.3,290,4.5,1011.1,14.21,4.8,5.7
108,서울,2019-02-26,5.2,,1.6,270,2.8,1013.4,16.25,3.6,5.3
108,서울,2019-02-27,7.8,,1.6,290,3.3,1010.7,12.84,7.5,6.5
108,서울,2019-02-28,6.6,,2,290,3.8,1008.4,14.07,3.3,5.9
108,서울,2019-03-01,6.6,,2.1,290,4,1011.2,15.38,.3,6.1
108,서울,2019-03-02,7.8,,1.1,290,3.7,1008.7,13.57,5.8,5.9
108,서울,2019-03-03,9.4,,1.5,20,4.1,1002.5,15.37,4.8,7.7
108,서울,2019-03-04,9.9,,1.9,270,5.3,1003.2,14.87,2.3,10.5
108,서울,2019-03-05,8.4,,2,250,7.1,1009.6,9.21,8.6,8.7
108,서울,2019-03-06,8.4,,2,290,6.1,1005.6,10.39,6.3,9.1
108,서울,2019-03-07,7,,2.2,270,5,1009.1,15.76,1.5,9.9
108,서울,2019-03-08,6.1,,1.9,290,3.6,1014.3,18.67,.1,8.2
108,서울,2019-03-09,7.2,,1.3,290,2.9,1011.2,14.44,5.4,8.4
108,서울,2019-03-10,10.1,,1.2,50,3.1,1003.2,8.91,7.1,10.1
108,서울,2019-03-11,6.6,0,1.8,230,5.9,998.7,9.72,4.9,8.1
108,서울,2019-03-12,3.9,0,2.7,270,4.6,1000.8,5.15,4.9,3.3
108,서울,2019-03-13,3.5,0,3.3,270,2.9,1009.3,17.87,1.8,6.6
108,서울,2019-03-14,5,0,1.9,200,3.9,1011.9,14.02,5.5,5.9
108,서울,2019-03-15,5.5,3.5,1.6,270,6.3,1006.8,9.93,7.4,10.9
108,서울,2019-03-16,4.3,,1.8,290,5.6,1009.9,11.76,5.5,5.3
108,서울,2019-03-17,6.3,,2,290,5,1012.6,19.62,2,8.8
108,서울,2019-03-18,7.1,,1.4,270,4.1,1009.4,16.33,6.3,8.3
108,서울,2019-03-19,10,,1.4,20,6.5,1006.5,15.01,1.4,10.3
108,서울,2019-03-20,10.3,16.5,1.4,90,9.7,999.8,4.38,8.8,8.6
108,서울,2019-03-21,7.1,3.3,2.9,270,8.1,998.1,7.51,7.9,8.3
108,서울,2019-03-22,3.3,,2.8,290,3,1009.4,21.87,.8,5.5
108,서울,2019-03-23,3.3,1.7,2.4,320,3.7,1010.4,12.62,3,4.1
108,서울,2019-03-24,4.3,,2.3,230,3.7,1010.6,22.16,.1,5.7
108,서울,2019-03-25,7.3,,2,230,5.7,1006.6,7.53,6.6,5.9
108,서울,2019-03-26,11.4,,2,270,6.4,1006.8,20.42,2.6,13.1
108,서울,2019-03-27,11.6,,3,200,8.9,1002.2,10.84,8.5,11.6
108,서울,2019-03-28,9.4,,2.6,270,5.6,1003.4,18.21,6.1,12.3
108,서울,2019-03-29,9.2,,2.1,320,3.8,1003.5,21.22,4.6,13.3
108,서울,2019-03-30,5.2,1.8,2.9,270,6.3,1002.1,6.76,9.4,6.9
108,서울,2019-03-31,4.4,0,3.2,290,3.8,1008.7,8.22,5.1,5.3
108,서울,2019-04-01,5.5,,2.5,270,3.4,1011.8,23.42,1.3,8.1
108,서울,2019-04-02,6.7,,2.2,290,3.4,1012.2,22.96,.3,9.7
108,서울,2019-04-03,7.6,,2.3,290,3.6,1012.7,22.61,.3,11.1
108,서울,2019-04-04,9.2,,2.5,270,4.7,1007.2,22.72,0,12.4
108,서울,2019-04-05,11.4,0,2.9,230,5.1,999.4,20.11,3,14.2
108,서울,2019-04-06,9.3,.8,1.1,50,4.7,1001.7,4.48,8.5,8.9
108,서울,2019-04-07,12.6,,1.7,290,5.6,1000.2,21.77,4.4,15.1
108,서울,2019-04-08,11.6,,2.5,290,3.4,1004.7,23.74,3.3,15.4
108,서울,2019-04-09,9.2,17.4,2.4,70,5.2,1005.6,5.64,9.4,10.3
108,서울,2019-04-10,7.1,5.6,1.8,90,7.9,1002.4,6.98,8.3,8.6
108,서울,2019-04-11,9.5,,1.9,290,6.5,1004.8,20.94,4.6,10.3
108,서울,2019-04-12,11.4,,2.2,290,6,1007.7,23.73,1.8,14.3
108,서울,2019-04-13,11.8,,1.8,270,4.2,1009.2,22.96,5.6,14.7
108,서울,2019-04-14,9.6,1.7,2.2,270,5.4,1004.8,8.35,6,9.5
108,서울,2019-04-15,11.6,,1.8,270,3.9,1008.3,24.07,0,13.4
108,서울,2019-04-16,14.9,,1.6,290,3.9,1006.8,23.58,4.8,15.9
108,서울,2019-04-17,15.3,,1.9,270,6.6,1002.4,24.94,3.9,18
108,서울,2019-04-18,12.6,0,2,270,10.8,1001.8,5.88,6.3,12.5
108,서울,2019-04-19,13.8,,1.6,70,8.6,1005.9,15.84,4.8,17.1
108,서울,2019-04-20,14.3,1.2,1.9,290,10.8,1004.7,14.63,7.1,17.5
108,서울,2019-04-21,14.8,.3,1.9,290,12.9,1003.4,13.42,7.9,18.1
108,서울,2019-04-22,19.3,,1.4,270,10.2,1004.7,23.42,2.3,21.6
108,서울,2019-04-23,20.4,0,1.3,270,12.2,1002.2,13.14,8.4,20.3
108,서울,2019-04-24,19.5,4.1,1.6,290,15.4,996.3,18.91,5,21
108,서울,2019-04-25,13.2,11.3,2,70,11.2,996.9,3.48,9.4,14
108,서울,2019-04-26,8.4,4.9,1.5,20,9.1,1003.1,3.51,8,10.2
108,서울,2019-04-27,11.6,,1.7,290,6.7,1010.9,23.24,4.8,14.1
108,서울,2019-04-28,12.9,0,1.6,290,7.1,1010.2,12.09,8.1,13.9
108,서울,2019-04-29,13,,.9,50,7.8,1004,9.81,5.8,12.3
108,서울,2019-04-30,15.5,,1.6,270,8.8,998.7,21.75,4.4,18.1
108,서울,2019-05-01,16.4,,2.3,270,9,996.4,24.41,1.9,20.2
108,서울,2019-05-02,17.1,,2.3,290,5.3,1001.6,27.27,0,21.3
108,서울,2019-05-03,17.9,,1.6,290,7.2,1006.4,25.59,0,21.9
108,서울,2019-05-04,19.5,,1.7,290,8.3,1007.8,22.12,4.9,22.3
108,서울,2019-05-05,19.2,,2.2,270,7.2,1005.8,25.14,5.1,23.9
108,서울,2019-05-06,14.5,0,3.1,290,4.3,1006.4,28.25,.3,22.8
108,서울,2019-05-07,15,,2.3,250,5.5,1005.7,27.02,0,22.1
108,서울,2019-05-08,15.6,,2.3,200,8.4,1002.1,23.39,6.1,21.3
108,서울,2019-05-09,16.6,,2.2,270,7.5,1000.8,25.46,3.1,23.9
108,서울,2019-05-10,17.8,,1.9,270,9.2,1003.1,25.19,3.5,24.4
108,서울,2019-05-11,20.3,,1.8,290,9,1003.7,25.19,2,26.4
108,서울,2019-05-12,21.6,,1.5,270,9,1004.8,21.82,4.3,26.8
108,서울,2019-05-13,18.7,0,1.6,290,9.1,1004.4,8.51,8.3,19.2
108,서울,2019-05-14,19.6,,1.6,270,9.7,1003,25.35,1.6,25.8
108,서울,2019-05-15,20.7,,1.7,290,11.2,1002.9,21.24,4.5,26.8
108,서울,2019-05-16,23.5,,1.5,270,11.9,1001.9,25.19,2.5,29.9
108,서울,2019-05-17,23.6,,1.2,70,12.7,1002.2,14.72,7.5,26.1
108,서울,2019-05-18,22.8,0,2.1,110,12.8,1001.8,16.28,8.5,28.2
108,서울,2019-05-19,19.4,22,1.2,70,20.9,998.8,5.22,10,20.4
108,서울,2019-05-20,16.4,8.7,3.4,270,11.8,994.9,24.95,4.5,18.6
108,서울,2019-05-21,17.2,,2.9,200,9.6,995.2,28.89,0,21.8
108,서울,2019-05-22,19.5,,2.4,230,9.6,995.3,27.5,1.4,25.1
108,서울,2019-05-23,22.1,,1.7,270,11,998.4,27.36,0,28.5
108,서울,2019-05-24,24.2,,1.7,290,13.6,1000.8,26.13,1.4,30.6
108,서울,2019-05-25,23.4,,1.6,200,12.3,1005,18.83,7.9,26.7
108,서울,2019-05-26,24.5,,1.8,270,11.3,1003.7,25.81,6,30.5
108,서울,2019-05-27,17.8,7.1,2.4,140,16.5,994.5,2.33,8.6,18.2
108,서울,2019-05-28,18.1,,2.6,270,8.9,1000.7,28.01,2.1,21.8
108,서울,2019-05-29,20.3,,2,290,10.6,999.7,28.48,.4,26.2
108,서울,2019-05-30,19.6,0,2.4,200,10.7,1000.7,18.28,7.9,23.8
108,서울,2019-05-31,19.1,,2.8,290,10.7,1000.3,27.46,2.3,26.5
108,서울,2019-06-01,18.9,,1.9,270,12.9,1000.1,21.1,5.5,24.8
108,서울,2019-06-02,21.1,,1.7,290,9.6,997.6,26.48,.6,27.8
108,서울,2019-06-03,23.1,,1.8,160,11.9,997.9,25.57,.6,30.1
108,서울,2019-06-04,22.6,,2.2,290,14.9,999.3,26.21,3,29.9
108,서울,2019-06-05,23,,1.8,270,17.3,1001.8,24.14,5.4,31.4
108,서울,2019-06-06,21.2,7.5,1.2,90,18.8,999.9,5.33,9.1,22.4
108,서울,2019-06-07,20,35.3,1.9,50,17.6,993.5,13.41,7.4,21
108,서울,2019-06-08,21.9,,1.4,50,14.5,997.9,21.14,5.9,22.8
108,서울,2019-06-09,21.6,2.5,1.8,290,16.8,995.5,16.87,8.9,23.7
108,서울,2019-06-10,18.4,9.5,1.6,70,14.5,997.3,11.01,8,19.7
108,서울,2019-06-11,20.5,,1.4,50,12.1,998.8,21.58,3.5,21.9
108,서울,2019-06-12,21.5,,1.8,290,14.2,1000.3,25.26,1.1,24.4
108,서울,2019-06-13,23,,1.7,290,13.9,999.7,27.4,3.1,27.2
108,서울,2019-06-14,23,,1.8,290,14.8,995.3,19.46,6.1,27
108,서울,2019-06-15,21.9,2.1,2.4,290,15.7,990.5,25.94,3.1,26
108,서울,2019-06-16,22,,1.6,50,14.1,996.7,22.45,3.9,24.7
108,서울,2019-06-17,21.7,0,2.3,290,15,1001.8,25.36,4.5,28.2
108,서울,2019-06-18,20.8,13.8,1.5,250,19,1000.3,11.26,9.5,22.5
108,서울,2019-06-19,21.4,.2,1.9,270,19.6,997.8,11.24,9.4,23
108,서울,2019-06-20,22.7,,1.9,270,19,997.1,20.91,8,25.9
108,서울,2019-06-21,22.1,.2,1.7,290,19.2,996.1,12.51,7.3,25.2
108,서울,2019-06-22,24.2,,1.5,70,12.1,996.5,27.01,2.1,28.8
108,서울,2019-06-23,25,,1.8,50,12.5,998.2,26.05,3,30.7
108,서울,2019-06-24,25.2,,2,270,14.6,1001.9,27.57,1.6,32.4
108,서울,2019-06-25,25.6,,1.6,290,15.3,1004.2,27.13,1.3,32.6
108,서울,2019-06-26,25.5,0,1.3,50,17,998.4,12.11,9.5,29.3
108,서울,2019-06-27,25.5,1.4,1.4,50,22.4,990.9,14.79,8.3,29.5
108,서울,2019-06-28,24.7,0,1.7,290,20.9,991.9,10.92,8.5,29.6
108,서울,2019-06-29,23.1,1.5,1.2,50,20,988.3,12.49,8.1,24.4
108,서울,2019-06-30,23.9,0,2.3,200,21.5,990.7,16.32,6.9,28.3
108,서울,2019-07-01,23.9,,2.3,270,18.5,995.4,20.33,4.9,29.6
108,서울,2019-07-02,24.4,,2.3,270,18.7,998.8,21.13,4,30
108,서울,2019-07-03,24.1,,1.7,290,19,998.1,12.62,6.4,26.9
108,서울,2019-07-04,25.4,,1.9,290,17.9,996.5,27.41,2.4,32.8
108,서울,2019-07-05,27.6,0,1.5,20,15,993.2,24.78,3.8,32
108,서울,2019-07-06,29.7,,1.7,90,16.2,994.1,25.87,3.4,37.1
108,서울,2019-07-07,26.7,,2.2,90,14.7,997.5,22.4,7.5,33.8
108,서울,2019-07-08,25.1,,2,70,14.6,997.9,20.54,6,32.9
108,서울,2019-07-09,25,,1.8,90,14.3,996.7,18.2,4.9,29.8
108,서울,2019-07-10,22.7,8.5,2,70,17.1,997.3,13.4,8.4,26.8
108,서울,2019-07-11,21.9,2.9,1.3,50,19.9,995.2,8.59,9.9,23.2
108,서울,2019-07-12,23.6,,2,290,18.7,996.3,18.43,6.8,26.1
108,서울,2019-07-13,24.9,0,1.7,290,20.7,992,15,6.4,28.3
108,서울,2019-07-14,25.9,,1.6,290,20.8,992.6,20.36,4.5,29.4
108,서울,2019-07-15,23.8,7.7,1.1,50,23.3,997.2,7.32,7.5,24.6
108,서울,2019-07-16,24.7,6.3,1.3,50,24.1,1000.7,13.41,7.3,25.7
108,서울,2019-07-17,25.6,.7,1.2,270,23.9,1001.2,11.19,9,26.4
108,서울,2019-07-18,26.9,,1.2,290,22.6,998.7,12.78,6.4,26.5
108,서울,2019-07-19,28.6,0,1.5,90,23.2,996.4,21.8,4.6,30.9
108,서울,2019-07-20,28,1.1,2.1,90,25,990.8,10.92,9.5,28.4
108,서울,2019-07-21,25.1,6.2,2.2,230,27.7,991.8,6.18,9.4,26.6
108,서울,2019-07-22,26.7,.1,2.2,200,25.7,996.3,13.12,7.5,26.9
108,서울,2019-07-23,28.1,,1.7,230,26.4,995.3,13.34,8.6,29.3
108,서울,2019-07-24,26.5,1,1.6,200,28.2,994.5,3.17,9.6,26.5
108,서울,2019-07-25,26.3,9.7,1.2,200,30.8,994.6,3.47,9.9,26.6
108,서울,2019-07-26,25.1,60,1.7,200,30.2,993.9,2.35,9.9,25.4
108,서울,2019-07-27,28.4,.6,1.3,140,29,995.7,15.31,7.6,29.6
108,서울,2019-07-28,26.1,25.6,2.2,200,29.7,998.2,2.87,9.8,26.4
108,서울,2019-07-29,27.5,.5,2.6,200,27.2,999.2,9.43,8,27.5
108,서울,2019-07-30,28.1,1.2,3.4,200,28.5,997.1,8.26,8.8,27.2
108,서울,2019-07-31,25.8,62.3,2.2,200,30.1,999.3,3.01,9.8,25.7
108,서울,2019-08-01,26.3,26.9,1.7,270,29.3,1002,13.55,7.8,26.7
108,서울,2019-08-02,28.4,,1.2,270,28.3,1001.8,15.74,3.5,28.8
108,서울,2019-08-03,29.4,3,1.3,50,27.6,1001,21.04,3.6,30.5
108,서울,2019-08-04,28.3,8.6,1.2,50,28.6,1000.9,17.53,5.8,29.6
108,서울,2019-08-05,30.5,,1.1,340,27.6,999.7,20.66,2.5,30.5
108,서울,2019-08-06,31.6,,1.5,70,23.2,996.9,22.91,6.8,31.7
108,서울,2019-08-07,26.9,8,1.2,290,27.4,995.6,6.91,8,27.5
108,서울,2019-08-08,28.9,0,1.6,290,27.9,998.3,15.87,6.6,29.7
108,서울,2019-08-09,29.8,,1.3,290,28.4,997.7,19.37,4.9,30.3
108,서울,2019-08-10,31.5,,1.5,90,25.9,996,22.69,5.1,33.1
108,서울,2019-08-11,30.4,6.7,2.5,90,22.6,992.2,21.52,6.8,33.2
108,서울,2019-08-12,26.6,56.2,1.3,70,31.8,990.7,4.8,8.9,26.8
108,서울,2019-08-13,29.2,6.4,1.5,270,30.4,992.7,16.91,7.4,30.7
108,서울,2019-08-14,30.4,,1.5,70,26.8,990.2,20.99,4,30.5
108,서울,2019-08-15,25.9,16.2,1.3,50,27.1,983.8,5.51,9.1,27
108,서울,2019-08-16,25.9,.1,2.2,270,24.6,985.6,14.1,6.3,27.3
108,서울,2019-08-17,25.9,0,2.5,270,23,991.5,13.25,5,26.9
108,서울,2019-08-18,25.6,,1.7,270,21.2,996.9,18.61,4.5,28.1
108,서울,2019-08-19,26.3,,1.1,50,20,999.7,18.16,4.6,27.2
108,서울,2019-08-20,28.2,,1.5,70,21.1,999.9,21.06,2.6,30.2
108,서울,2019-08-21,27,1.3,1.2,50,23.7,998.5,11.43,7.6,29.2
108,서울,2019-08-22,26.9,,1.7,270,22.7,996.5,23.16,6.3,31.5
108,서울,2019-08-23,26.2,,2.1,270,19.3,998.4,23.84,4.4,31.7
108,서울,2019-08-24,24.1,,1.5,270,18.2,1000.6,8.25,5.5,26.7
108,서울,2019-08-25,25,,1.5,50,20.5,1002.8,17.85,3.4,30.9
108,서울,2019-08-26,26.4,,1.2,50,21.2,1002,18.4,6.4,31.5
108,서울,2019-08-27,25.7,20,1,290,22.9,997.7,13.22,8.1,26.4
108,서울,2019-08-28,26.1,,1.9,270,21.9,996.6,,5.9,27.7
108,서울,2019-08-29,23.4,36.9,2.2,160,22,995.9,,5.6,25.9
108,서울,2019-08-30,22.6,.2,2.4,200,17.8,998.8,17.84,5.3,24.1
108,서울,2019-08-31,23.5,,1.9,230,18.3,1003.4,21.07,2.3,25
108,서울,2019-09-01,23.7,,1.4,340,18.1,1006.8,15.17,6.1,23.8
108,서울,2019-09-02,24.4,,1.6,320,16.7,1006.5,16.85,6.1,24.8
108,서울,2019-09-03,24.1,0,2.3,360,20,1005.3,11.6,8.5,26.3
108,서울,2019-09-04,22.8,22.7,2.5,360,24.6,1003.1,5.68,9.3,23.5
108,서울,2019-09-05,23,36.4,2,360,25.4,1001.9,6.07,9,23.7
108,서울,2019-09-06,25.3,2.4,2.1,360,25.6,999.2,9.29,10,25.5
108,서울,2019-09-07,25.7,2.8,6,360,23.7,987.7,2.95,10,24.1
108,서울,2019-09-08,24.7,0,1.9,160,23.6,998.3,9.31,9.3,25.1
108,서울,2019-09-09,25.1,0,1.7,340,23.4,1000.6,10.04,9.3,25.2
108,서울,2019-09-10,23.8,63.2,2.4,360,27.3,1001.7,5.74,9.8,24.4
108,서울,2019-09-11,24.3,7.6,3.1,360,21.3,1004.6,16.56,7.9,24.9
108,서울,2019-09-12,21,3.9,2.6,360,17.7,1006.6,4.09,9.8,21.9
108,서울,2019-09-13,23.3,.1,1.7,360,16.7,1003.6,21.35,4.3,24.4
108,서울,2019-09-14,22.4,.3,1.2,320,21.5,1001.6,3.34,8.8,22.9
108,서울,2019-09-15,24.2,,1.7,340,20.8,1000.8,18.19,5.5,25.2
108,서울,2019-09-16,24.5,,2.1,360,15.6,1001,19.91,3.6,27.4
108,서울,2019-09-17,23.5,,2.1,360,11.7,1004.7,20.01,6.4,25.4
108,서울,2019-09-18,21,,3.1,230,11.3,1006.7,21.9,1.1,25.4
108,서울,2019-09-19,19.5,,1.9,270,10.5,1008.2,19.83,3.5,23.3
108,서울,2019-09-20,19.6,,2.1,360,12,1007.5,8.64,9.4,21.5
108,서울,2019-09-21,19.6,,2,360,13.7,1009.1,4.44,9.6,20.8
108,서울,2019-09-22,18.6,.4,3.8,360,13.5,1003.2,3.2,9.4,18.5
108,서울,2019-09-23,20,,2.2,290,11.7,1004.4,16.92,3.1,20.2
108,서울,2019-09-24,19.8,,1.8,230,13.5,1008.6,20.17,0,23
108,서울,2019-09-25,20.9,,1.4,340,15.5,1011.7,16.44,5.9,23.4
108,서울,2019-09-26,22.9,,1.9,340,15.8,1013.6,15.5,8.4,25.1
108,서울,2019-09-27,22.9,,1.9,360,15.6,1012.1,10.42,8.6,24.4
108,서울,2019-09-28,23.7,,1.7,230,16.8,1008.1,15.97,3.8,25.8
108,서울,2019-09-29,22.6,,1.7,230,15.8,1006.7,18.83,.3,24.7
108,서울,2019-09-30,22.4,,1.6,230,15.7,1006.8,18.37,0,24.3
108,서울,2019-10-01,23.1,,1.8,320,18.7,1007.9,13.05,6.8,24.5
108,서울,2019-10-02,21.6,23.1,3,360,22.5,1001.7,3.4,9.9,22.2
